Names,Height,Flower Color,Bloom Time,Exposure,Drought-Tolerant,Comment,Container Sizes
"Achillea millefolium
yarrow",12-24″,white,May-August,"S, PS",X,"Long-blooming, easy perennial, attractive to butterflies and seed-eating birds",3″
"Agastache rupestris
sunset hyssop",18-30″”,pink/orange,late June-Sep,S,X,"Finely textured foliage, fragrant. Hummingbirds love it. Southwest native.",3″
"Allium cernuum
nodding onion",15-20″,pink (white),May-June,S,X,"Bell-shaped flowers in nodding clusters, grows in expanding clumps",3″
"Anaphalis margaritacea
pearly everlasting",18-24″,white,June-Aug,S,XX,"White flower clusters, silvery leaves. Rhizomatous. Butterfly plant.",3″
"Antennaria microphylla
rosy pussytoes",6-12″,pink to rose,May-June,S,X,"Forms wooly gray mats, with clustered flowers borne above.",3″
"Apocynum androsaemifolium
spreading dogbane",6-16″,pink,May-July,"S, PSH",X,"Spreading plant with long bloom time, masses of fragrant pink flowers, very butterfly attractive",3″
"Aquilegia formosa
red columbine",24-30″,red/yellow,May-July,PSH,,"Bi-colored flowers: sepals red, petals yellow. Prefers moist places.",3″
"Aruncus dioicus
goatsbeard",36-60″,white,May-June,"SH, PSH",,"Tall perennial with attractive foliage and long white flower clusters, found in shady moist forests",3″
"Asclepias fascicularis
narrow-leaf milkweed",12-30″,white/pinkish-purple,June-Aug,S,X,"A more restrained milkweed, long bloom time, great for butterflies",3″
"Asclepias incarnata
swamp milkweed",48-60″,pink & purple,June-Aug,S,,"Tall, clump-forming milkweed from moist sites. Recently found in Okanogan Co.","3″, #1"
"Asclepias speciosa
showy milkweed",24-48″,pink & purple-red,June-Aug,S,X,"Unusual large, fragrant flower clusters; great for butterflies. Forms large clumps.",3″
"Asclepias tuberosa
orange butterflyweed",16-24″,orange,June-Aug,S,X,"Lovely orange flowers, very attractive to butterflies; CO seed source",3″
"Balsamorhiza sagittata
arrowleaf balsamroot",12-24″,yellow,April,S,X,"Showy sunflower, gray-green foliage; Central-WA icon.",3″
"Chamaenerion angustifolium
fireweed",36-72″,rose-purple,June-Aug,"S, PSH",,"Tall, spreading plant with long inflorescence, extended bloom time",3″
"Erigeron filifolius
threadleaf daisy",10-18″,"pink to lavender, yellow center",May-June,S,X,Clumping fleabane with attractive gray-green foliage. shrub-steppe to forest,3″
"Erigeron linearis
line-leaved daisy",6-10″,yellow,Apr-May,S,XX,Charming mounds in shrub-steppe covered with bright yellow daisies.,3″
"Erigeron speciosus
showy daisy",18-24″,blue-purple,May-June,"S, PSH",,"Blue-purple ray flowers surround a golden center, dark green leaves.",3″
