Bluebunch Wheatgrass
"Agropyron spicatum, Pseudoroegneria spicata"
Big Bluestem
Andropogon gerardii
Basin wildrye
Elymus cinereus
Prairie Junegrass
Koeleria macrantha
Indian Ricegrass
Oryzopsis hymenoides
Switchgrass
Panicum virgatum
Little Bluestem
Schizachyrium scoparium
Indian Grass
Sorghastrum nutans
Kinnickinnik
Arctostaphylos uva-ursi
Matted Buckwheat
Eriogonum caespitosum
Northern Buckwheat
Eriogonum compositum
"Wyeth buckwheat, Parsnip flower buckwheat"
Eriogonum heracleoides
Snow buckwheat
Eriogonum niveum
Cushion Buckwheat
Eriogonum ovalifolium
Blue Mountain buckwheat
Eriogonum strictum
Thyme-leaf buckwheat
Eriogonum thymoides
Sulphur Flower Buckwheat
Eriogonum umbellatum var. majus
Horizontal Juniper
Juniperus horizontalis
Lavender
Lavandula sp.(Hardy English)
Ellagance Pink' Lavender
Lavandula sp.'Ellagance Pink'
Kent Beauty' Oregano
Origanum rotundifolium x O. scabrum
Barrett's Penstemon
Penstemon barrettiae
Shrubby Penstemon
Penstemon fruticosus
"Cliff Penstemon, Rock Penstemon"
Penstemon rupicola
Purple Sage
Salvia dorrii
"Mojave Sage, Giant Flowered Purple Sage"
Salvia pachyphylla
"Hens & Chicks, Live-Forever, House Leek"
Sempervivum sp.
Birchleaf Spiraea
Spiraea betulifolia
"Douglas' Spiraea, Rose spiraea"
Spiraea douglasii
Creeping Thyme
Thymus sp.
Creeping Wooly Thyme
Thymus sp.
Cherry Brandy' Gloriosa Daisy

Rudbeckia hirta 'Cherry Brandy'
"Azure Sage, Pitcher Sage"

Salvia azurea
Sedum

Sedum sp.
Orange Globemallow

Sphaeralcea muroana
Adam's needle
"Soapweed, Great Plains Yucca"

Yucca glauca
Creeping Hummingbird Trumpet

Zauschneria garrettii
Anise Hyssop

Agastache foeniculum
Apache Sunset Agastache

Agastache rupestris 'Apache Sunset'
Nettle-leaf Agastache

Agastache urticifolia
Blue Star

Amsonia tabernaemontana
Fringed sage

Artemisia frigida
Narrowleaf milkweed

Asclepias fascicularis
Showy Milkweed

Asclepias speciosa
Orange butterfly flower

Asclepias tuberosa
* Arrowleaf balsamroot (only available in spring)

Balsamorhiza sagittata
Blue Wild Indigo

Baptisia australis
Winecups

Callirhoe involucrata
Dwarf sundrops

Calylophus serrulatus
Nuttall's larkspur

Delphinium nuttalianum
Yellow foxglove

Digitalis lutea
"Purple coneflower, Echinacea"

Echinacea purpurea
Yellow Coneflower

Echinacea paradoxa
Cutleaf Daisy

Erigeron compositus
Desert Yellow Daisy

Erigeron linearis
Showy Daisy

Erigeron speciosus
Oregon Sunshine

Eriophyllum lanatum
Spinystar cactus

"Escobaria vivipara, Coryphantha vivipara"
Prairie Smoke

Geum triflorum
Scarlet Gilia

Gilia aggregata
"Roundleaf Alumroot, (Wild Coralbells)"

Heuchera cylindrica
Rocky Mountain iris

Iris missouriensis
Bigleaf Lupine

Lupinus polyphyllus
Eastern Beebalm

Monarda bradburiana
Wild Bergamot

Monarda fistulosa
"Mountain Monardella, Coyote Mint"

Monardella odoratissima
Garden Catmint

Nepeta faasinii
Tufted Evening-Primrose

Oenothera caespitosa
Missouri Evening-primrose

Oenothera macrocarpa
"Sand Penstemon, Sharpleaf Penstemon"

Penstemon acuminatus
White Penstemon

Penstemon albidus
"Gilia beardtongue, Pink plains penstemon"

Penstemon ambiguus
Torrey's Penstemon

Penstemon barbatus var. torreyi
Little Yellow Penstemon

Penstemon confertus
Wasatch Penstemon

Penstemon cyananthus
Foxglove Penstemon

Penstemon digitalis
Firecracker Penstemon

Penstemon eatonii
Stickystem Penstemon

Penstemon glandulosus
Shining Penstemon

Penstemon nitidus
Eggleaf Beardtongue

Penstemon ovatus
Pineleaf Penstemon

Penstemon pinifolius
Desert Beardtongue

Penstemon pseudospectabilis
Cutleaf Penstemon

Penstemon richardsonii
"Cascade Penstemon, Coast Penstemon"

Penstemon serrulatus
"Blue Mt. Penstemon, Beautiful Penstemon"

Penstemon venustus
Alpine Jacob's Ladder

Polemonium pulcherrimum
Pasque Flower

Pulsatilla patens

"Desert Sweet, Fernbush"

Chamaebatiaria millefolium
Red-osier Dogwood

Cornus sericea
Apache Plume

Fallugia paradoxa
Crimsoneyed Rosemallow

Hibiscus moscheutos
Ninebark

Physocarpus malvaceus
Chokecherry

Prunus virginiana
Serviceberry

Amelanchier alnifolia
"Fernbush, Sweetshrub"

Chamaebatiaria millefolium
Oceanspray

Holodiscus discolor
Beauty Bush

Kolkwitzia amabilis
Incense cedar

Calocedrus decurrens
Western white clematis

Clematis ligusticifolia
Water Birch

Betula occidentalis
Rocky Mountain Juniper

Juniperus scopulorum
