DECIDUOUS TREES

Acer circinatum Vine Maple
Acer macrophylla Big leaf Maple
Acer glabrum Douglas Maple
Alnus rubra Alder
Amalanchier alnifolia Western Serviceberry
Betula papyrifera Paper Birch
Crateagus douglasii Black Hawthorn
Fraxinus latifolia Oregon Ash
Populus tremuloides Quaking Aspen
Populus trichocarpa Black Cottonwood
Prunus emarginata Bitter Cherry
Quercus garryana Garry Oak
Rhamnus purshiana Cascara Tree

CONIFER TREES

Abies grandis Grand Fir
Abies procera Noble Fir
Abies amabilis Silver Fir
Calocedrus decurrens Incense Cedar
Larix occidentalis Western Larch
Tsuga heterophylla Hemlock
Tsuga mertensiana Mt. Hemlock
Picea sitchensis Sitka Spruce
Pinus contorta Shore Pine
Psuedotsuga menziesii Douglas Fir
Taxus brevifolia Pacific Yew
Thuja plicata Western Red Cedar
Juniperus scopulorum Rocky Mt Juniper

SMALL TREES/SHRUBS- DECIDUOUS

Cornus sericea Red Osier Dogwood
Philadelphus lewisii Mock Orange
Physocarpus capitatus Ninebark
Ribes bracteosum Stink Currant
Ribes sanguineum Flowering Currant
Ribes lacustre Black Gooseberry
Rosa gymnocarpa Baldhip Rose
Rosa nootkatensis Nootka Rose
Corylus cornuta Beaked Hazelnut
Holodiscus discolor Oceanspray
Lonicera involucrata Twinberry
Symphoricarpos alba Snowberry
Spirea douglasii Hardhck
Oemleria cerasiformis Indian Plum
Vaccinium parviflora Red Huckleberry
Vaccinium ovatum Evergreen Huckleberry
Vaccinium membranaceum Black Huckleberry
Myrica gale Sweet Gale
Sambucus racemosa Red Elderberry
Sambuscus caerula Blue Elderberry
Malus fusca Pacific Crab Apple
Crataegus douglasii Black Hawtorn
Sorbus sitchensis Sitka Mountain Ash
Menziesia ferruginea
Oplopanax horridus Devils Club
Rubus parviflora Thimbleberry
Rubus spectabilis Salmonberry
Rubus ursinus Trailing blackberry
Rubus Luecodermis Blackcap


BROADLEAF EVERGREEN TREES AND SHRUBS

Arbutus menziesii Pacific Madrone
Ceanothus velutinus Snowbrush
Vaccinium ovatum Evergreen Huckleberry
Gaultheria shallon Salal
Garrya elliptica Silk Tassel
​Ledum groenlandia Labrador Tea
Mahonia nervosa Oregon Grape
Mahonia aquifolium Tall Oregon Grape
Mahonia repens Creeping Oregon Grape
Rhododendron macrophyllum Pacific Rhododendron
Cercocarpos ledifolius Mountain Mahogany

"PERENNIALS, GRASSES AND BULBS"
​
Aster subspicata Douglas Aster
Aquilegia Formosa Red Columbine
Achlys triphylla Vanilla Leaf
Aruncus dioicus Goat's Beard
Armeria maritima Sea Thrift
Asarum caudatum Wild Ginger
Achillea millefolium Yarrow
Arnica chamissonis Meadow Arnica
Asclepias speciosa Showy Milkweed
Echinacea purpurea Purple Cone Flower
Dicentra formosa Bleeding Heart
Erythronium oregonum White Fawn Lily
Penstemon ovatus Broadleaf Penstemon
Penstemon serrulatus Coast Penstemon
Penstmon procerus Small flowered Penstemon
Prunella vulgaris Self Heal
Huechera micrantha Small Flowered Alum
Heracleum lantanum Cow Parsnip
Montia parvilolia Streambank Spring-Beauty
Mentha arvensis Field Mint
Mimulus guttatus Yellow Monkeyflower
Mimulus lewisii Pink Monkeyflower
Lysichiton americanus Swamp Lantern
Helenium autumnale Helen's Flower
Eriophyllum lantanum Oregon Sunshine
Festuca idahoensis Roemer's Fescue
Carex leporina Eggbract Sedge
Carex mertensii Merten's Sedge
Carex stipata Owlfruit Sedge
Carex unilateralis One-sided Sedge
Carex lyngbei Lyngbe's Sedge
Deschampsia cespitosa Tufted Hairgrass
Elymus mollis Dune Grass
Iris tenax Pacific Coast Iris
Allium cernuum Nodding Onion
Camassia quamash Common Camas
Dodecatheon hendersonii Shooting star
Lillium columbiana Tiger Lily
Potentilla gracilis Graceful cinquefoil
Stachys cooleyae Cooley's Hedge Nettle
Sisyrinchium idahoensis Blue-eyed Grass
Tellima grandiflora Fringecup
Lupinus rivularis Riverside Lupine
Viola spp. Various Violets
Maianthemum dilatatum False Lily of the Valley
Maianthemum racemosa False Solomon's Seal
Maianthemum stellata Star-Flowered False Solomon's seal
Brodiea coronaria Harvest Brodiea
​Brodiea hyacinthinia Fool's Onion

"GROUND COVERS, FERNS, AND VINES"

Arcostaphylos uva-ursi Kinnikinnik
Asarum caudatum Wild Ginger
Cornus canadensis Bunchberry
Fragaria chiloensis Beach Strawberry
Fragaria vesca Alpine Strawberry
Oxalis oregonum Redwood Sorrel
Vancouveria hexandra Inside-out Flower
Gymnocarpium dryopteris Oak Fern
Matteuccia struthiopteris Ostrich Fern
Polystichum munitum Sword Fern
Blechnum spicant Deer Fern
Adiantum pedantum Maiden Hair Fern
Lonicera ciliosa Orange Honeysuckle
Lonicera hispidula Pink Honeysuckle
Linnea borealis Twinflower
Sedum oregonum Oregon Stonecrop
Sedum spathulifolium Broadleafed Stonecrop
