Acer circinatum. Vine maple.
Acer macrophyllum. Bigleaf maple.
Alnus rubra. Red alder.
Alnus sinuata. Sitka alder.
Amelanchier alnifolia. Serviceberry. (#)
Arbutus menziesii. Pacific madrone.(d.b.)
"Arbutus menziesii, clean seed"
Arctostaphylos columbiana. Hairy manzanita.
Ceanothus velutinus. Mountain balm.
Cornus nuttallii. Pacific dogwood.
Cornus sericea (stolonifera). Red-osier dogwood. (#)
Crataegus douglasii. Black hawthorn. (#)
Frangula (Rhamnus) purshiana. Cascara.
Fraxinus latifolia. Oregon ash.
Gaultheria shallon. Salal.
Holodiscus discolor. Ocean-spray.
Juniperus maritima. Seaside juniper.
Lonicera ciliosa. Orange honeysuckle.
Lonicera hispidula. Pink honeysuckle.
Lonicera involucrata. Black twinberry.
Mahonia aquifolium. Tall Oregon-grape.
Mahonia nervosa. Cascade Oregon-grape.
Malus (Pyrus) fusca. Western crabapple.
Myrica californica. California wax myrtle.
Myrica gale. Sweet gale.
Oemleria cerasiformis. Indian-plum.
Oplopanax horridum. Devil's-club.
Physocarpus capitatus. Pacific ninebark.
Picea sitchensis. Sitka spruce.
Pinus contorta v. contorta. Shore pine.
Prunus emarginata. Bitter-cherry.
"Quercus garryana. Garry oak. (fresh, husked)"
Rhododendron macrophyllum. Pacific rhododendron.
Ribes divaricatum. Coast black gooseberry.
Ribes bracteosum. Stink currant.
Ribes lacustre. Swamp currant.
Ribes lobbii. Gummy gooseberry.
Ribes sanguineum. Red-flowering currant.
Rosa gymnocarpa. Baldhip rose.
Rosa nutkana. Nootka rose.
Rosa pisocarpa. Clustered wild rose.
Rubus leucodermis. Blackcap raspberry.
Rubus parviflorus. Thimbleberry.
Rubus spectabilis. Salmonberry.
Rubus ursinus (vitifolia). Trailing blackberry.
Sambucus cerulea (nigra). Blue elderberry. (#)
Sambucus racemosa v. arborescens. Red elder. (#)
Sequoia sempervirens. Coast redwood.
Shepherdia canadensis. Buffaloberry. (#)
Sorbus scopulina. Cascade mountain-ash.
Sorbus sitchensis. Sitka mountain-ash.
Spiraea douglasii. Douglas' spirea.
Symphoricarpos albus. Snowberry.
Symphoricarpos mollis. Creeping snowberry.
Taxus brevifolia. Pacific yew.
Thuja plicata. Western red-cedar.
Vaccinium caespitosum. Dwarf bilberry.
Vaccinium deliciosum. Cascade blueberry.
Vaccinium ovalifolium. Oval-leaf blueberry.
Vaccinium ovatum. Evergreen huckleberry.
Vaccinium parvifolium. Red huckleberry.
Viburnum edule. Highbush cranberry.
Abronia latifolia. Yellow sandverbena.
Achillea millefolium. Yarrow.
Achlys triphylla. Vanilla-leaf.
Actaea rubra. Red baneberry.
Allium acuminatum. Tapertip onion.
Allium cernuum. Nodding onion.
Ambrosia chamissonis. Silver burweed.
"Anaphalis margaritacea. Pearly-everlasting, in 'feather'."
Anemone occidentalis. Western pasqueflower.
Aquilegia formosa. Sitka columbine.
Arctostaphylos uva-ursi. Bearberry.
Armeria maritima. Sea thrift.
Artemisia suksdorfii. Coastal mugwort.
Aruncus dioicus (sylvester). Sylvan goatsbeard.
Asarum caudatum. Wild ginger.
Aster alpigenus. Alpine aster.
Aster chilensis. Pacific aster.
Aster eatonii. Eaton's aster.
Aster subspicatus: see Symphyotrichum
Atriplex patula. Orache.
Balsamorhiza deltoidea. Deltoid balsamroot.
"Camassia leichtlinii. Leichtlin's, or Great camas."
Camassia quamash. Blue camas (seed).
Campanula rotundifolia. Bluebells-of-Scotland.
Castilleja miniata. Scarlet paintbrush.
Castilleja hispida. Harsh paintbrush.
"Chamerion (Epilobium) angustifolium. Fireweed, in 'feather'"
Claytonia sibirica. Springbeauty.
Clintonia uniflora. Queen's cup or Beadlily.
Collinsia parviflora. Blue-eyed Mary.
Cornus unalaschkensis (canadensis). Bunchberry.
Delphinium glaucum. Pale larkspur.
Delphinium menziesii. Menzies' larkspur.
Delphinium nuttallii. Nuttall's larkspur.
Dicentra formosa. Pacific bleeding-heart.
Disporum hookeri. Hooker's fairy-bell.
Disporum smithii. Smith's fairy-bell.
Dodecatheon hendersonii. Henderson's shooting-star.
Epilobium: see Chamerion
Erigeron peregrinus. Wandering daisy (fleabane).
Erigeron speciosus. Showy fleabane.
Eriophyllum lanatum. Woolly sunflower.
Erythronium grandiflorum. Glacier-lily.
Erythronium montanum. Avalanche lily.
Erythronium oregonum. White fawnlily.
Erythronium revolutum. Pink fawn lily.
Fragaria chiloensis. Coastal strawberry.
Fragaria vesca v. bracteata. Woodland strawberry.
Fragaria virginia v. platypetala. Wild strawberry.
Fritillaria camschatcensis. Northern rice-root.
Fritillaria affinis (lanceolata). Chocolate-lily (checker-lily).
Geum macrophyllum. Largeleaf avens.
Geum triflorum. Old man's whiskers.
Glehnia littoralis. Beach carrot.
Grindelia integrifolia. Coast gumplant.
Helenium autumnale. Sneezeweed. NEW!
Heracleum maximum (lanatum). Cow-parsnip.
Heuchera micrantha. Small-flowered alum-root.
Hydrophyllum tenuipes. Slender-stem waterleaf.
Iris douglasiana. Douglas iris.
Iris setosa. Alaska iris.
Iris tenax. Oregon iris.
Lathyrus littoralis. Grey beach peavine.
Lathyrus maritimus (japonicus). Beach pea.
Lilium columbianum. Orange tigerlily.
Lomatium nudicaule. Barestem lomatium.
Lomatium utriculatum. Spring gold.
Lupinus albicaulis. Pine lupine.
Lupinus latifolius (arcticus). Broadleaf lupine.
Lupinus lepidus. Prairie lupine.
Lupinus littoralis. Seashore lupine.
Lupinus micranthus. Small-flowered lupine.
Lupinus polyphyllus. Many-leaved lupine.
Lupinus rivularis. Streambank lupine.
Lysichitum americanum. Skunk-cabbage.
Maianthemum dilatatum. Beadruby.
Maianthemum (Smilacina) racemosa (amplexicaulis). Western Solomon-seal.
Maianthemum (Smilacina) stellata. Starry Solomon-seal.
Mimulus guttatus. Yellow monkeyflower.
Mimulus lewisii. Great purple monkeyflower.
Montia perfoliata. Miner's lettuce.
Oenanthe sarmentosa. Pacific water-parsley.
Olsynium (Sisyrinchium) douglasii. Grass-widows.
Penstemon cardwellii.Cardwell's penstemon.
Penstemon davidsonii. Davidson's penstemon.
Penstemon ovatus. Broadleaved penstemon.
Penstemon procerus. Small-flowered penstemon.
Penstemon serrulatus. Coast penstemon.
Petasites frigidus. Sweet coltsfoot.
Plantago maritima. Seaside plantain.
Plectritis congesta. Rosy plectritis.
Potentilla gracilis. Slender cinquefoil.
Potentilla pacifica. Pacific silverweed.
Prunella vulgaris. Self-heal.
Ranunculus occidentalis. Western buttercup. NEW!
Rhinanthus crista-galli. Rattle-box.
Sagittaria latifolia. Wapato.
Satureja douglasii. Yerba buena.
Sidalcea hendersonii. Henderson's checkermallow.
Sisyrinchium angustifolium. Blue-eyed grass.
Sisyrinchium californicum. Golden-eyed grass.
Sisyrinchium idahoense. Idaho blue-eyed grass.
Solidago canadensis. Canada goldenrod.
Solidago spathulata. Dwarf goldenrod.
Stachys cooleyae. Cooley's hedge-nettle.
Streptopus amplexifolius. Twisted-stalk.
Symphyotrichum (Aster) subspicatus. Douglas aster.
Tellima grandiflora. Fringecup.
Tiarella trifoliata. Foamflower.
Tolmiea menziesii. Youth-on-age.
Trifolium wormskjoldii. Springbank clover.
Trillium albidum ssp. parviflorum. Small-flowered trillium.
Trillium ovatum.White trillium.
Urtica dioica. Stinging-nettle.
Vancouveria hexandra. Inside-out flower.
Vicia gigantea. Giant vetch.
Xerophyllum tenax. Beargrass.
Zygadenus venenosus. Deadly zigadene (camas).
Agrostis exerata. Spike bentgrass.
Bromus carinatus. California brome.
Carex aquatilis. Water sedge.
Carex comosa. Bottlebrush sedge.
Carex densa. Dense sedge.
Carex leptopoda (deweyana). Dewey's sedge.
Carex lenticularis. Lenticular sedge.
Carex lyngbyei. Lyngby's sedge.
Carex macrocephala. Big-head sedge.
Carex mertensii. Merten's sedge.
Carex obnupta. Slough sedge.
Carex pachystachya. Thick-headed sedge.
Carex stipata. Sawbeak sedge.
Carex rostrata. Beaked sedge.
Danthonia californica. California oatgrass.
Deschampsia caespitosa. Tufted hairgrass.
Eleocharis palustris. Common spikerush.
Elymus glaucus. Blue wildrye.
Elymus (Leymus) mollis. American dunegrass.
Eriophorum chamissonis. Cotton-grass.
Festuca roemeri (idahoensis). Roemer's fescue.
"Festuca roemeri, wild-harvested."
Festuca rubra. Red fescue.
Glyceria elata. Tall mannagrass.
Hordeum brachyantherum. Meadow-barley.
Juncus acuminatus. Tapered rush.
Juncus balticus. Baltic rush.
Juncus effusus. Common rush.
Juncus ensifolius. Dagger-leaf rush.
Juncus patens. Spreading rush.
Juncus tenuis. Slender rush.
Luzula multiflora (campestris). Field woodrush.
Luzula parviflora. Small-fl'w'r'd woodrush.
Schoenoplectus (Scirpus) acutus. Hardstem bulrush.
Schoenoplectus (Scirpus) americanus. Three-square bulrush.
Scirpus lacustris (validus). Softstem bulrush. a.k.a. Schoenoplectus tabernaemontani.
Scirpus maritimus. Seacoast bulrush.
Scirpus microcarpus. Small-fruited bulrush.
Sparganium angustifolium. Floating bur-reed.
Triglochin maritimum. Seaside arrowgrass.
