Abronia
Abronia villosa
Acacia
Achnatherum
Acer
Acer glabrum
Achillea
Achnatherum hymenoides
Achnatherum lettermanii
Achillea millefolium
Acer negundo
Achnatherum nelsonii
Achnatherum speciosum
Achnatherum thurberianum
Adoxa
Agrostis capillaris
Agropyron cristatum
Agropyron desertorum
Agropyron fragile
Agrostis gigantea
Agropyron
Agrostis
Agrostis stolonifera
Alopecurus arundinaceus
Alcea
Alnus
Alopecurus
Alopecurus pratensis
Alnus rubra
Alnus viridis
Alyssum
Amelanchier alnifolia
Ambrosia
Ambrosia deltoidea
Ambrosia dumosa
Amelanchier
Amelanchier utahensis
Anaphalis
Andropogon
Anemone
Andropogon gerardii
Andropogon hallii
Anaphalis margaritacea
Anemone oregana
Aquilegia canadensis
Aquilegia coerulea
Aquilegia flavescens
Aquilegia formosa
Aquilegia
Aquilegia vulgaris
Artemisia cana
Arctostaphylos
Arrhenatherum elatius
Artemisia filifolia
Artemisia frigida
Aristida
Artemisia ludoviciana
Armeria
Artemisia nova
Aristida purpurea
Arrhenatherum
Artemisia
Artemisia tridentata
Artemisia tridentata ssp.
Artemisia tridentata ssp. tridentata
Artemisia tridentata ssp. vaseyana
Artemisia tridentata ssp. wyomingensis
Arum
Arundina
Arctostaphylos uva-ursi
Astragalus cicer
Asclepias
Aster
Astragalus
Asclepias tuberosa
Atriplex canescens
Atriplex confertifolia
Atriplex corrugata
Atriplex cuneata
Atriplex gardneri
Atriplex lentiformis
Atriplex polycarpa
Atriplex
Atriplex semibaccata
Atriplex tridentata
Aurinia
Aurinia saxatilis
Avena
Avena sativa
Baccharis
Baileya
Balsamorhiza
Baileya multiradiata
Bassia prostrata
Barbula
Baccharis sarothroides
Balsamorhiza sagittata
Bassia
Kochia
Betula
Beckmannia
Bellis
Betula occidentalis
Bellis perennis
Bergia
Beckmannia syzigachne
Bouteloua aristidoides
Bothriochloa barbinodis
Bouteloua curtipendula
Bouteloua dactyloides
Bouteloua eriopoda
Bouteloua gracilis
Bothriochloa ischaemum
Bolboschoenus
Bolboschoenus maritimus
Bouteloua rothrockii
Bothriochloa
Bouteloua
Bromus biebersteinii
Bromus carinatus
Bromus catharticus
Bromus inermis
Bromus marginatus
Bromus
Carex
Calamagrostis
Carex aquatilis
Carex bebbii
Calypso bulbosa
Campanula carpatica
Calamagrostis canadensis
Calliandra eriophylla
Carex geyeri
Carex interior
Calamovilfa
Calendula
Calliandra
Calamovilfa longifolia
Calochortus
Calypso
Camassia
Campanula
Carex nebrascensis
Calochortus nuttallii
Carex obnupta
Calendula officinalis
Castilleja
Camassia quamash
Castilleja rhexiifolia
Carex rostrata
Castilleja sulphurea
Catha
Carex vulpinoidea
Ceanothus
Centaurea cyanus
Ceanothus integerrimus
Cercocarpus ledifolius
Cercocarpus montanus
Centaurea
Cercocarpus
Ceanothus sanguineus
Ceanothus velutinus
Chamerion
Chamerion angustifolium
Chilopsis
Chilopsis linearis
Chrysothamnus
Chrysothamnus viscidiflorus
Cicer
Clarkia amoena
Clarkia
Cleome
Cleome isomeris
Cleome serrulata
Cornus
Consolida ajacis
Cosmos bipinnatus
Cornus canadensis
Cornus florida
Collinsia heterophylla
Coreopsis lanceolata
Coleogyne
Collinsia
Columbia
Consolida
Coleogyne ramosissima
Coreopsis
Coronilla
Cornus sericea
Cornus sericea ssp. sericea
Cosmos
Cosmos sulphureus
Coreopsis tinctoria
Crataegus
Crataegus douglasii
Cynoglossum amabile
Cynodon dactylon
Cynodon
Cynoglossum
Dalea candida
Dactylis
Dactylis glomerata
Dalea
Dalea purpurea
Dasyochloa pulchella
Dalea purpurea var. purpurea
Dasyochloa
Delphinium cardinale
Deschampsia cespitosa
Delphinium
Deschampsia elongata
Desmanthus illinoensis
Deschampsia
Desmanthus
Dianthus
Dianthus barbatus
Digitaria californica
Dicentra
Dicentra formosa
Digitalis
Digitaria
Digitalis purpurea
Distichlis spicata
Distichlis
Dodecatheon
Dracopis
Dracopis amplexicaulis
Echinochloa esculenta
Echinacea
Echinochloa
Echinacea pallida
Echinacea purpurea
Elymus
Elymus canadensis
Elymus elymoides
Eleocharis
Elymus glaucus
Elymus lanceolatus
Elymus lanceolatus ssp. psammophilus
Elytrigia
Elymus multisetus
Elytrigia repens
Elymus trachycaulus
Elymus wawawaiensis
Encelia
Encelia farinosa
Ephedra
Ephedra nevadensis
Ephedra viridis
Erigeron
Eriogonum
Ericameria
Eragrostis curvula
Eriogonum fasciculatum
Eriogonum heracleoides
Eria
Erica
Eragrostis intermedia
Ericameria laricifolia
Eragrostis lehmanniana
Erysimum
Ericameria nauseosa
Erigeron speciosus
Eragrostis superba
Eragrostis trichodes
Eriogonum umbellatum
Eschscholzia californica
Eschscholzia
Eurybia glauca
Solidago
Eurybia
Fallugia
Fallugia paradoxa
Festuca ovina
Festuca campestris
Festuca idahoensis
Festuca roemeri
Festuca occidentalis
Festuca rubra
Festuca
Gaillardia aristata
Gaillardia
Gaillardia pulchella
Gaultheria shallon
Gaultheria
Geranium
Geranium viscosissimum
Gilia capitata
Gilia
Gilia tricolor
Glandularia
Verbena
Glyceria
Glandularia gooddingii
Glyceria grandis
Glandularia tenuisecta
Glyceria striata
Grayia
Grayia spinosa
Helianthus annuus
Hedysarum boreale
Heteropogon contortus
Hesperostipa comata
Stipa comata
Helianthus
Hedysarum
Heliomeris
Helianthus maximiliani
Hesperis matronalis
Heliomeris multiflora
Hesperostipa
Hesperis
Heteropogon
Hordeum brachyantherum
Holodiscus discolor
Holodiscus
Hookeria
Hordeum
Hymenoclea
Hymenoclea salsola
Iberis
Iberis umbellata
Iliamna
Iliamna rivularis
Ipomopsis aggregata
Ipomopsis
Iris
Iris missouriensis
Ischaemum
Isocoma
Isocoma tenuisecta
Iva
Juncus
Juncus alpinus
Juncus balticus
Juncus effusus
Juncus ensifolius
Juniperus
Juniperus occidentalis
Juncus orthophyllus
Juniperus scopulorum
Juncus tenuis
Juncus torreyi
Kallstroemia grandiflora
Kalmia latifolia
Kallstroemia
Kalmia
Koeleria
Koeleria macrantha
Krascheninnikovia
Krascheninnikovia lanata
Lathyrus hirsutus
Layia platyglossa
Larrea
Lathyrus
Larrea tridentata
Layia
Leymus angustus
Leymus cinereus
Leptochloa dubia
Leersia
Leucanthemum maximum
Leymus
Lens
Leersia oryzoides
Leptochloa
Leymus racemosus
Leucanthemum
Leymus triticoides
Leucanthemum vulgare
Liatris
Lilium columbianum
Linum grandiflorum
Linum lewisii
Lilium
Linaria
Linum
Liatris pycnostachya
Liatris spicata
Lonicera
Lobularia
Lonicera ciliosa
Lotus corniculatus
Lolium
Lobularia maritima
Lolium perenne
Lolium multiflorum
Lotus
Lotus rigidus
Lupinus albicaulis
Lupinus argenteus
Lupinus arizonicus
Lupinus argenteus ssp. rubricaulis
Lupinus bicolor
Lupinus caudatus
Lupinus latifolius
Lupinus perennis
Lupinus
Lupinus polyphyllus
Lupinus sericeus
Lupinus sparsiflorus
Lupinus succulentus
Lupinus texensis
Lycium andersonii
Lychnis chalcedonica
Lychnis
Lycium
Lycium exsertum
Mahonia aquifolium
Machaeranthera
Mahonia
Machaeranthera tanacetifolia
Medicago
Mentzelia lindleyi
Melilotus
Mentzelia
Melilotus officinalis
Rhynchelytrum repens
Medicago sativa
Medicago sativa ssp. falcata
Medicago sativa ssp.
Mimulus
Monarda citriodora
Monarda fistulosa
Monarda
Muhlenbergia
Muhlenbergia wrightii
Myosotis
Myosotis sylvatica
Nassella
Nassella viridula
Nemophila maculata
Nemophila menziesii
Nemophila
Oenothera biennis
Oenothera caespitosa
Oenothera macrocarpa
Oenothera
Oenothera pallida
Oenothera speciosa
Olneya
Solidago rigida
Olneya tesota
Onobrychis
Onobrychis viciifolia
Oxalis
Oxalis oregana
Panicum antidotale
Panicum coloratum
Parkinsonia microphylla
Panicum
Papaver nudicaule
Papaver
Papaver rhoeas
Parkinsonia
Pascopyrum
Pascopyrum smithii
Panicum virgatum
Penstemon cyananthus
Penstemon eatonii
Penstemon fruticosus
Penstemon
Penstemon palmeri
Penstemon pseudospectabilis
Peraphyllum ramosissimum
Pera
Peraphyllum
Perityle
Penstemon rydbergii
