Kallstroemia grandiflora,Arizona poppy,N,"12-36""",A,Orange-Red,Summer,100000,Spring/Fall,10,6-8,Summer annual after rain. Prefers low moist areas.,Full Sun,,,,,
Balsamorhiza sagittata,Arrowleaf balsamroot,N,"8-32""",P,Yellow,Spr-Sum,58000,Spring/Fall,12,6-8,Open areas on hillsides/grasslands/forests,Full Sun,,,,,
Lupinus succulentus,Arroyo lupine,N,"24-36""",A,Blue,Spring,15000,Anytime,12,18,Dry open areas on foothills & canyons,Full Sun,,,,,
Erigeron speciosus,Aspen daisy,N,"12-36""",P,Lavender,Sum-Fall,1800000,Fall/Winter,16,1,Moist forest & streambanks at mid-elevation,Sun or Partial,,,,,
Nemophila menziesii,Baby Blue Eyes,N,"4-12""",A,blue,Spring,240000,Winter/Spring,12,4-6,Grow on a variety of soils & easy to establish,Sun or Partial,,,,,
Centaurea cyanus spp.,Bachelor buttons,I,"16-24""",A,Blue,Summer,90000,Spring,12,4,"Used in wildflower mixes, rock gardens, etc.",Sun or Partial,,,,,
Aurinia saxatilis,Basket of gold,I,"4-12""",P,Yellow,Spring,460000,Spring/Fall,14,4-6,"Used in wildflower mixes, rock gardens, etc.",Sun or Partial,,,,,
Oenothera macrocarpa,Big fruit evening primrose,N,"6-8""",P,Yellow,Summer,92000,Fall/Winter,12,6-8,Rocky slopes and hillsides throughout western U.S.,Full Sun,,,,,
Gilia tricolor,Birds eyes,N,"12-24""",A,Blue,Spr-Sum,1000000,Spring/Fall,14,1,"Used in wildflower mixes, rock gardens, etc.",Sun or Partial,,,,,
Rudbeckia hirta,Black-eyed susan,N,"24-48""",P,Yellow,Summer,1650000,Winter/Spring,12,1,Most soils throughout North America,Full Sun,,,,,
Gaillardia aristata,Blanket flower,N,"12-24""",P,Yellow-Red,Sum-Fall,186000,Spr/Fall/Win,10,6,Ideal for erosion control on most soils,Sun or Partial,,,,,
Mentzelia lindleyi,Blazing star,N,"12-40""",A,Yellow,Spr-Sum,586000,Spring/Fall,12,4,Dry open areas on foothills & canyons,Full Sun,,,,,
Dicentra formosa,Bleeding heart,N,"6-18""",P,Purple,Spr-Sum,450000,Spring/Fall,55,4-6,Moist forest & streambanks at mid-elevation,Sun or Partial,,,,,
