TREES,,LIST PRICE BY SIZE,$2.70,$3.75,$18.75,$9.75,$17.50,"Priced by species,
 email for quote."
Grand fir,Abies grandis,Zone 030 Aberdeen/Elma,,800,,,,
Big leaf maple,Acer macrophyllum,Thurston,,,,90,,
Pacific madrone,Arbutus menziesii,Puget Lowlands,,40,,12,,
Black hawthorn,Crataegus douglasii,WWA,,,,8,,
Oregon ash,Fraxinus latifolia,WWA,,,,29,12,
Shore pine,Pinus contorta,Thurston,,,,Spring '22,15,
Black cottonwood,Populus balsamifera,Thurston,,300,,,,
Douglas-fir,Pseudotsuga menziesii,Puget Lowlands,,100,,12,,
Oregon white oak,Quercus garryana,Puget Lowlands,,100,10,,,
Western red cedar,Thuja plicata,Twin Harbor Zone,,,,Spring '22,,3
Western hemlock,Tsuga hetrophylla,Twin Harbor Zone,,,,5,10,
SHRUBS,,LIST PRICE BY SIZE,,$2.70,$3.75,$9.75,$17.50,
Vine maple,Acer circinatum,Puget Lowlands,,,70,25,,
Red stem ceanothus,Ceanothus sanguineus,Puget Lowlands,,,850,,,
Snowbrush,Ceanothus velutinus,,,,300,,,
Red osier dogwood,Cornus sericea,Puget lowlands,,300,160,70,,
Beaked hazelnut,Corylus cornuta,Puget Lowlands,,,,35,,
Cascara,Frangula purshiana,Puget lowlands,,480,,20,,
Salal,Gaultheria shallon,Puget Lowlands,200,,500,,Spring '22,
Black twinberry,Lonicera involucrata,Puget lowlands,,,"1,000",30,,
Tall Oregon grape,Mahonia aquifolium (Berberis),Puget lowlands,,,,Spring '22,Spring '22,
Osoberry,Oemleria cerasiformis,Puget lowlands,,,,Spring '22,Spring '22,
Mock orange,Philadelphus lewisii,Puget lowlands,,,,122,,
Pacific ninebark,Physocarpus capitatus,Puget lowlands,,,"1,000",,3,
Blue (Stink) currant,Ribes bracteosum,Puget lowlands,,,,Spring '22,,
Wild gooseberry,Ribes divaricatum,Puget lowlands,,,50,,,
Bald-hip rose,Rosa gymnocarpa,Puget lowlands,,,30,,,
Nootka rose,Rosa nutkana,Puget lowlands,,,,Spring '22,,
Swamp rose,Rosa pisocarpa,Puget lowlands,,,50,Spring '22,,
Thimbleberry,Rubus parviflorus,Puget lowlands,,,Spring '22,,,
Red elderberry,Sambucus racemosa,Puget lowlands,,,,Spring '22,,
Snowberry,Symphoricarpos albus,Puget lowlands,90,,,,,
FERNS,,,,,,,,
,,LIST PRICE BY SIZE,,,,$11.25,,
Deer fern,Blechnum spicant,Snohomish,,,,Spring '22,,
Maidenhair fern,Adiantum aleuticum,Snohomish,,,,30,,
Lady fern,Athyrium filix-femina,Snohomish,,,,25,,
Spiny wood fern,Dryopteris dilatata,Snohomish,,,,50,,
Sword fern,Polystichum munitum,Snohomish,,,,50,,
Wild ginger,Asarum caudatum,Snohomish,,,,6,,
,,,,,,,,
PERENNIALS,,LIST PRICE BY SIZE,$2.55,$2.70,$3.75,$9.75,,
Goat's beard,Aruncus dioicus,Thurston,,370,,,,
Pacific bleeding heart,Dicentra formosa,,,,,Spring '22,,
Showy fleabane,Erigeron speciosus,,850,,,,,
Coastal strawberry,Fragaria chiloensis,,,,150,,,
Large leaved avens,Geum macrophyllum,WWA,,,20,,,
Dougla iris,Iris douglasiana,,,Spring '22,,,,
Toughleaf iris,Iris tenax,,,,60,,,
Yellow monkeyflower,Mimulus guttatus,Thurston,,,,Spring '22,,
Mountain sweet cicely,Osmorhiza chilensis,,,,30,,,
Woodland buttercup,Ranunculus uncinatus,,,,115,,,
Henderson's checkermallow,Sidalcea hendersonii,,,80,,,,
Fringecup,Tellima grandiflora,Thurston,,"1,300",,,,
Inside-out flower,Vancouveria hexandra,Thurston,,,,Spring '22,,
Hookedspur violet,Viola adunca,,,,Spring '22,,,
"GRASSES, SEDGES & RUSHES",,LIST PRICE BY SIZE,$2.70,$3.00,$9.75,,,
Bigleaf sedge,Carex amplifolia,,,5,,,,
Slender-foot (Dewey) sedge,Carex leptopoda (deweyana ssp. leptopoda),Puget Lowlands,,"1,300",,,,
One-sided sedge,Carex unilateralis,,,150,,,,
Camisso sedge,Carex pachystachya,,,500,,,,
Common spikerush,Eleocharis palustris,,,"1,800",,,,
Baltic rush,Juncus balticus,,,280,,,,
Dagger-leaf rush,Juncus ensifolius,Puget Lowlands,,"1,000",,,,
Slender rush,Juncus tenuis,Puget Lowlands,,"1,000",,,,
Seacoast bulrush,Scirpus maritimus,,,700,,,,
Soft-stem bulrush,Schoenoplectus tabernaemontani,,,100,,,,
