Common Name,Species,Size,Price
Daggerleaf Rush,Juncus ensifolius,Plug,$1.25
Grey Rush,Juncus patens,PLUG,$1.25
Grey Rush,Juncus patens,1 GAL,$4.00
Ice Dance,Carex morrowii,1 GAL,$4.00
Lyngbye Sedge,Carex lyngbyei,PLUG,$1.25
Orange Sedge,Carex testacea,1 GAL,$4.00
Red Fescue,Festuca rubra,Plug,$1.25
Sawbeak Sedge,Carex stipata,PLUG,$1.25
Slender Rush,Juncus tenuis,Plug,$1.25
Slough Sedge,Carex onbupta,1 GAL,$3.90
Small Fruited Bullrush,Scirpus microcarpus,PLUG,$1.25
Soft Rush,Juncus effusus,PLUG,$1.25
Soft Rush,Juncus effusus,1 GAL,$4.00
Tapertip Rush,Juncus accuminatus,PLUG,$1.25
Wood Grass,Scirpus cyperinus,Plug,$1.25
Common Name,Species,Size,Price
Sand Strawberry,Fragaria chiloensis,"4""",$1.25
Sand Strawberry,Fragaria chiloensis,1 GAL,$4.25
Yellow Eyed Grass,Sisyrinchium calfornicum,"4""",$1.50
Common Name,Species,Size,Price
Birch Leaf Spirea,Spirea betulifolia var. tor,1 GAL,$4.00
Black Twinberry,Lonicera involucrata,2 GAL,$6.50
Bluecrop,Vaccinium corymbosum,2 GAL,$12.00
Chokecherry,Prunus virginiana,1 GAL,$4.00
Darrow,Vaccinium corymbosum,2 GAL,$12.00
Dwarf Red Twig Dogwood,Cornus kelseyii,1 GAL,$4.25
Hooker Willow,Salix hookeriana,1 GAL,$4.00
Indian Plum,Oemleria cerasiformis,1 GAL,$4.00
Jersery,Vaccinium corymbosum,2 GAL,$12.00
Jersey,Vaccinium corymbosum,2 GAL,$12.00
Mock Orange,Philadelphus lewisii,1 GAL,$4.00
Mock Orange,Philadelphus lewisii,2 GAL,$6.50
Ninebark,Physocarpus capitatus,1 GAL,$4.00
Ninebark,Physocarpus capitatus,2 GAL,$6.50
Pacific Willow,Salix lasiandra,1 GAL,$4.00
Patriot,Vaccinium corymbosum,2 GAL,$12.00
Pavement Series,Rosa rugosa,1 GAL,$7.00
Red Flowering Currant,Ribes sanguineum,2 GAL,$12.00
Red Twig Dogwood,Cornus sericea,1 GAL,$4.00
Scouler Willow,Salix scouleriana,1 GAL,$4.00
Serviceberry,Amelanchier alnifolia,1 GAL,$3.90
Shiny Leaf Spirea,Spirea betulifolia var. lucida,1 Gal,$4.00
Sitka Willow,Salix sitchensis,1 GAL,$4.00
Spartan,Vaccinium corymbosum,2 GAL,$12.00
Sub Alpine Spirea,Spirea splendens,1 GAL,$4.00
Swamp Rose,Rosa pisocarpa,2 GAL,$6.50
Tall Oregon Grape,Mahonia aquifolium,1 GAL,$4.50
Variegated Red Twig Dogwood,Cornus alba Elegantissima,1 GAL,$4.25
Wild Gooseberry,Ribes divaricatum,1 GAL,$4.25
Common Name,Species,Size,Price
Big Leaf Maple,Acer macrophyllum,5 GAL,$12.00
Black Hawthorne,Crataegus dougasii,1 GAL,$4.00
Cascara,Rhamnus purshiana,1 GAL,$4.00
Cascara,Rhamnus purshiana,2 GAL,$6.50
Cascara,Rhamnus purshiana,7 GAL,$20.00
Crabapple,Malus fusca,1 GAL,$4.00
Crabapple,Malus fusca,2 GAL,$6.50
Douglas Fir,Pseudotsuga menziesii,5 GAL,$14.00
Oregon Ash,Fraxinus latifolia,1 GAL,$4.00
Oregon Ash,Fraxinus latifolia,2 GAL,$6.50
Oregon Ash,Fraxinus latifolia,7 GAL,$20.00
Red Alder,Alnus rubra,5 GAL,$14.00
Shore Pine,Pinus contorta,2 GAL,$6.50
Sitka Spruce,Picea sitchensis,5 GAL,$14.00
Western Red Cedar,Thuja plicata,1 GAL,$4.00
Western Red Cedar,Thuja plicata,2 GAL,$6.50
Western Red Cedar,Thuja plicata,7 GAL,$20.00
White Pine,Pinus monticola,1 GAL,$4.00
Common Name,Species,Size,Price
Columbine,Aquilegia formosa,1 GAL,$4.50
Common Camas,Camassia quamash,1 GAL,$4.50
Goatsbeard,Aruncus diocus,1 GAL,$4.50
Nodding Onion,Allium cernuum,"4""",$1.50
Sombrero Tres Amigos,Echinacea,1 GAL,$5.00
Sunseekers Rainbow,Echinacea,1 GAL,$5.00
