Taxon Name	Available at Nursery?	Nurseries	Percent of Nurseries with this Taxon
Abutilon abutiloides	False		0.0
Abutilon americanum	False		0.0
Abutilon jacquinii	False		0.0
Abutilon lignosum	False		0.0
Abietinella abietina	False		0.0
Hypnum abietinum	False		0.0
Thuidium abietinum	False		0.0
Abronia alpina	False		0.0
Abies alba	False		0.0
Abies amabilis	True	FourthCornerNursery, FriendlyNativesNursery, WoodbrookNativePlantNursery, 	12.5
Abronia ameliae	False		0.0
Abronia ammophila	False		0.0
Abronia fendleri	False		0.0
Abronia angustifolia	False		0.0
Abronia angustifolia var. arizonica	False		0.0
Abronia torreyi	False		0.0
Abronia argillosa	False		0.0
Abutilon auritum	False		0.0
Abroma augustum f.	False		0.0
Abroma augusta f., orth. var.	False		0.0
Ambroma augusta f., orth. var.	False		0.0
Ambroma augustum f., orth. var.	False		0.0
Abies balsamea	False		0.0
Abies balsamea var. balsamea	False		0.0
Pinus balsamea	False		0.0
Abies balsamea var. phanerolepis	False		0.0
Abies	True	DerbyCanyonNatives, FourthCornerNursery, FriendlyNativesNursery, HimaNursery, IFANursery, OxbowFarmandConservationCenter, PlantasNativaLLC, PlantsoftheWild, SoundNativePlants, WabashFarms, WACD, WatershedGardenWorks, WildlandsNursery, WoodbrookNativePlantNursery, 	58.33
Abutilon berlandieri	False		0.0
Abutilon californicum	False		0.0
Abrothallus bertianus	False		0.0
Abronia bigelovii	False		0.0
Abronia bolackii	False		0.0
Abies bracteata	False		0.0
Abies venusta	False		0.0
Abrothallus bryoriarum	False		0.0
Abronia carletonii	False		0.0
Abrothallus cetrariae	False		0.0
Abrothallus cladoniae	False		0.0
Abies concolor	True	PlantsoftheWild, WoodbrookNativePlantNursery, 	8.33
Abies concolor var. concolor	False		0.0
Abronia elliptica	False		0.0
Abronia fragrans var. elliptica	False		0.0
Abronia pumila	False		0.0
Abronia ramosa	False		0.0
Abronia salsa	False		0.0
Abelia	True	HimaNursery, 	4.17
Abelmoschus	False		0.0
Abutilon eremitopetalum	False		0.0
Abelmoschus esculentus	False		0.0
Hibiscus esculentus	False		0.0
Abies firma	False		0.0
Abies fraseri	False		0.0
Pinus fraseri	False		0.0
Abronia fragrans	False		0.0
Abronia fragrans var. glaucescens	False		0.0
Abutilon fruticosum	False		0.0
Abutilon texense	False		0.0
Abutilon glabriflorum	False		0.0
Abies grandis	True	DerbyCanyonNatives, FourthCornerNursery, FriendlyNativesNursery, HimaNursery, OxbowFarmandConservationCenter, PlantasNativaLLC, PlantsoftheWild, SoundNativePlants, WabashFarms, WACD, WatershedGardenWorks, WildlandsNursery, WoodbrookNativePlantNursery, 	54.17
Abies grandis var. grandis	False		0.0
Abies grandis var. idahoensis	False		0.0
Abies grandis ssp. idahoensis	False		0.0
Abies grandis f. johnsonii	False		0.0
Abronia gracilis	False		0.0
Abutilon grandifolium	False		0.0
Abies guatemalensis	False		0.0
Abutilon hirtum	False		0.0
Abies homolepis	False		0.0
Abutilon hulseanum	False		0.0
Abutilon commutatum	False		0.0
Abutilon pauciflorum	False		0.0
Abutilon hypoleucum	False		0.0
Abietinella	False		0.0
Abildgaardia	False		0.0
Abutilon incanum	False		0.0
Abutilon incanum ssp. incanum	False		0.0
Abutilon incanum ssp. pringlei	False		0.0
Abutilon pringlei	False		0.0
Abronia insularis	False		0.0
Abutilon indicum	False		0.0
Abutilon indicum ssp. albescens	False		0.0
Abutilon asiaticum var. albescens	False		0.0
Abies lasiocarpa	True	PlantsoftheWild, WoodbrookNativePlantNursery, 	8.33
Abronia latifolia	True	FourthCornerNursery, InsidePassageSeeds, PlantasNativaLLC, 	12.5
Abies lasiocarpa var. arizonica	False		0.0
Abies arizonica	False		0.0
Abies lasiocarpa var. lasiocarpa	False		0.0
Abies balsamea var. fallax	False		0.0
Abies balsamea ssp. lasiocarpa	False		0.0
Abies bifolia	False		0.0
Abies lasiocarpa ssp. bifolia bis)	False		0.0
Abies lasiocarpa var. bifolia bis)	False		0.0
Abies subalpina	False		0.0
Abies lowiana	False		0.0
Abies concolor var. lowiana	False		0.0
Abies magnifica	False		0.0
Abronia maritima	False		0.0
Abutilon malacum	False		0.0
Abronia macrocarpa	False		0.0
Abutilon mauritianum	False		0.0
Abelmoschus manihot	False		0.0
Hibiscus manihot	False		0.0
Abies magnifica var. magnifica	False		0.0
Abies magnifica var. shastensis	False		0.0
Abies magnifica var. critchfieldii	False		0.0
Abies magnifica ssp. shastensis	False		0.0
Abronia mellifera	False		0.0
Abutilon menziesii	False		0.0
Abutilon megapotamicum	False		0.0
Abronia minor	False		0.0
Abelmoschus moschatus	False		0.0
Hibiscus abelmoschus	False		0.0
Abutilon mollicomum	False		0.0
Abutilon sonorae	False		0.0
Abronia nana	False		0.0
Abronia nana var. covillei	False		0.0
Abronia nana ssp. covillei	False		0.0
Abronia nana var. harrisii	False		0.0
Abronia nana var. nana	False		0.0
Abronia nana var. lanciformis	False		0.0
Abronia neurophylla	False		0.0
Abildgaardia ovata f.)	False		0.0
Abildgaardia monostachya	False		0.0
Cyperus monostachyos	False		0.0
Fimbristylis monostachya	False		0.0
Fimbristylis ovata f.)	False		0.0
Abutilon palmeri	False		0.0
Abutilon parishii	False		0.0
Abutilon parvulum	False		0.0
Abrothallus parmeliarum	False		0.0
Buelliella parmeliarum	False		0.0
Abutilon permolle	False		0.0
Abrothallus peyritschii	False		0.0
Abronia pogonantha	False		0.0
Abies procera	True	FourthCornerNursery, FriendlyNativesNursery, PlantasNativaLLC, WoodbrookNativePlantNursery, 	16.67
Abies nobilis	False		0.0
Abrus precatorius	False		0.0
Abrus abrus nom. inval.	False		0.0
Abrothallus prodiens	False		0.0
Abutilon reventum	False		0.0
Abroma	False		0.0
Ambroma f., orth. var.	False		0.0
Abronia	True	FourthCornerNursery, InsidePassageSeeds, PlantasNativaLLC, RainierSeeds, 	16.67
Abrothallus	False		0.0
Abrus	False		0.0
Abutilon sandwicense	False		0.0
Abortopetalum sandwicense	False		0.0
Abutilon sandwicense var. welchii	False		0.0
Absconditella	False		0.0
Absconditella sphagnorum	False		0.0
Abutilon theophrasti	False		0.0
Abutilon abutilon nom. inval.	False		0.0
Abutilon avicennae	False		0.0
Abutilon thurberi	False		0.0
Abutilon trisulcatum	False		0.0
Abutilon triquetrum	False		0.0
Absconditella trivialis	False		0.0
