"Symbol","Synonym Symbol","Scientific Name with Author","State Common Name","Family","Scientific Name"
"ABAM","","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes","Pacific silver fir","Pinaceae","Abies amabilis"
"ABFR2","","Abronia fragrans Nutt. ex Hook.","snowball sand verbena","Nyctaginaceae","Abronia fragrans"
"ABFR2","ABFRG2","Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson","","Nyctaginaceae","Abronia fragrans var. glaucescens"
"ABGR","","Abies grandis (Douglas ex D. Don) Lindl.","grand fir","Pinaceae","Abies grandis"
"ABGR","ABGRI2","Abies grandis (Douglas ex D. Don) Lindl. ssp. idahoensis (Silba) Silba","","Pinaceae","Abies grandis ssp. idahoensis"
"ABGR","ABGRG","Abies grandis (Douglas ex D. Don) Lindl. var. grandis","","Pinaceae","Abies grandis var. grandis"
"ABGR","ABGRI","Abies grandis (Douglas ex D. Don) Lindl. var. idahoensis Silba","","Pinaceae","Abies grandis var. idahoensis"
"ABGR","ABGRJ","Abies grandis (Douglas ex D. Don) Lindl. f. johnsonii O.V. Matthews","","Pinaceae","Abies grandis f. johnsonii"
"ABIES","","Abies Mill.","fir","Pinaceae","Abies"
"ABLA","","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Pinaceae","Abies lasiocarpa"
"ABLA2","","Abronia latifolia Eschsch.","coastal sand verbena","Nyctaginaceae","Abronia latifolia"
"ABLAL","","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","subalpine fir","Pinaceae","Abies lasiocarpa var. lasiocarpa"
"ABLAL","ABBAL","Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin","","Pinaceae","Abies balsamea ssp. lasiocarpa"
"ABLAL","ABBAF","Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin","","Pinaceae","Abies balsamea var. fallax"
"ABLAL","ABBI3","Abies bifolia A. Murray bis","","Pinaceae","Abies bifolia"
"ABLAL","ABLAB","Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (A. Murray bis) Silba","","Pinaceae","Abies lasiocarpa ssp. bifolia bis)"
"ABLAL","ABLAB2","Abies lasiocarpa (Hook.) Nutt. var. bifolia (A. Murray bis) Eckenw.","","Pinaceae","Abies lasiocarpa var. bifolia bis)"
"ABLAL","ABSU","Abies subalpina Engelmann","","Pinaceae","Abies subalpina"
"ABME","","Abronia mellifera Douglas ex Hook.","white sand verbena","Nyctaginaceae","Abronia mellifera"
"ABPR","","Abies procera Rehder","noble fir","Pinaceae","Abies procera"
