Taxon Name	Available at Nursery?	Nurseries	Percent of Nurseries with this Taxon	ID	ModifiedOn	Contributors	InformalClassification	Family	TaxonID	TaxonName	SeeAlso	NameRank	Hybrid	TerminalTaxon	Excluded	Peripheral	Waif	Endemic	Extirpated	OriginCode	Origin	Distribution	Voucher	Comments	
Abies amabilis	True	FourthCornerNursery, FriendlyNativesNursery, WoodbrookNativePlantNursery, 	12.5	209	2009-03-03 08:26:00	Peter F. Zika	Vascular Plants: Gymnosperms	Pinaceae	35180	Abies amabilis		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Abies	True	DerbyCanyonNatives, FourthCornerNursery, FriendlyNativesNursery, HimaNursery, IFANursery, OxbowFarmandConservationCenter, PlantasNativaLLC, PlantsoftheWild, SoundNativePlants, WabashFarms, WACD, WatershedGardenWorks, WildlandsNursery, WoodbrookNativePlantNursery, 	58.33	208	2018-05-02 22:04:00		Vascular Plants: Gymnosperms	Pinaceae	35178	Abies		genus		N	N	N	N	N	N	N	Native				
Abronia fragrans	False		0.0	3025	2007-02-23 17:30:00	Peter F. Zika	Vascular Plants: Dicots	Nyctaginaceae	95995	Abronia fragrans	Abronia mellifera	species		Y	Y	Y	N	N	N				{"Herbarium":"WTU"}	Reports of Abronia fragrans in Washington are believed to be a misidentification of A. mellifera.	
Abies grandis	True	DerbyCanyonNatives, FourthCornerNursery, FriendlyNativesNursery, HimaNursery, OxbowFarmandConservationCenter, PlantasNativaLLC, PlantsoftheWild, SoundNativePlants, WabashFarms, WACD, WatershedGardenWorks, WildlandsNursery, WoodbrookNativePlantNursery, 	54.17	210	2009-03-03 08:28:00	Peter F. Zika	Vascular Plants: Gymnosperms	Pinaceae	35202	Abies grandis		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA2: "Abies grandis is rather uniform morphologically and chemically. At its southern limit in southern Oregon and northern California, it introgresses with A . concolor (J.L. Hamrick and W.J. Libby 1972; E.Zavarin et al. 1975; D.B. Zobel 1973). In the area of introgression, specimens in lower, wetter habitats are best assigned to A . grandis ; those in higher, drier habitats, to A . concolor . Others are best considered to be A . concolor Â´ grandis."	
Abies lasiocarpa	True	PlantsoftheWild, WoodbrookNativePlantNursery, 	8.33	211	2009-03-03 08:31:00	Peter F. Zika	Vascular Plants: Gymnosperms	Pinaceae	35212	Abies lasiocarpa		species		N	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA2: "The only unique populations in this species come from coastal Alaska (A. S. Harris 1965; C. J. Heusser 1954). They are found at lower elevations (0--900 m) and appear to be isolated with no reported introgression between them and the coastal mountain populations. The population on the Prince of Wales Island has distinct terpene patterns and needs morphological and developmental studies to see if these patterns contrast with neighboring populations.<br><br>Through central British Columbia and northern Washington, Abies lasiocarpa introgresses with A . bifolia . These trees may have morphologic features resembling either species and may have intermediate terpene patterns; they are best classified as interior subalpine fir ( A . bifolia Â´ lasiocarpa ). At the southern end of its range, A . lasiocarpa possibly hybridizes with A . procera (R.S. Hunt and E.von Rudloff 1979). Abies lasiocarpa shares with A . procera a red periderm, crystals in the ray parenchyma (R.W. Kennedy et al. 1968), and reflexed tips of the bracts, features not shared with A . bifolia .<br><br>Abies lasiocarpa usually exists in small stands at high elevations and is not often observed. Its differences in comparison to A . bifolia have prompted studies (W.H. Parker et al. 1979) to see if it is A . bifolia introgressed with the sympatric A . amabilis . Abies lasiocarpa and A . amabilis , however, are separated by many morphologic features, and no hybrids have been found (W.H. Parker et al. 1979)."	
Abronia latifolia	True	FourthCornerNursery, InsidePassageSeeds, PlantasNativaLLC, 	12.5	3026	2010-03-16 09:15:00	Peter F. Zika	Vascular Plants: Dicots	Nyctaginaceae	95999	Abronia latifolia		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA4: "S. S. Tillett (1967) considered plants of Abronia umbellata var. minor (Standley) Munz to be introgressants between A. latifolia and A. umbellata."	
Abronia mellifera	False		0.0	3027	2010-03-16 09:19:00	Peter F. Zika	Vascular Plants: Dicots	Nyctaginaceae	96002	Abronia mellifera		species		N	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	Reports of Abronia fragrans in Washington are believed to be a misidentification of A. mellifera.	
Abies procera	True	FourthCornerNursery, FriendlyNativesNursery, PlantasNativaLLC, WoodbrookNativePlantNursery, 	16.67	214	2009-03-03 08:34:00	Peter F. Zika	Vascular Plants: Gymnosperms	Pinaceae	35227	Abies procera		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Abronia	True	FourthCornerNursery, InsidePassageSeeds, PlantasNativaLLC, RainierSeeds, 	16.67	3024	2018-05-02 22:04:00		Vascular Plants: Dicots	Nyctaginaceae	95975	Abronia		genus		N	N	N	N	N	N	N	Native				
Abutilon theophrasti	False		0.0	2902	2009-09-08 15:16:00	Fred Weinmann	Vascular Plants: Dicots	Malvaceae	92634	Abutilon theophrasti		species		Y	N	N	N	N	N	I	Introduced		{"Herbarium":"WTU"}	Not in H&C; KZ lists as noxious; need to check on occurrence in WA.	
Abronia umbellata	False		0.0	3029	2018-05-02 22:04:00	Peter F. Zika	Vascular Plants: Dicots	Nyctaginaceae	96016	Abronia umbellata		species		N	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Abronia umbellata var. acutalata	False		0.0	3030	2010-03-16 14:44:00	Peter F. Zika	Vascular Plants: Dicots	Nyctaginaceae	96019	Abronia umbellata var. acutalata		infraspecies		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA4:  "Closely related to inland Abronia villosa. Hybridizes with coastal A. maritima of coastal California and Baja. The variety acutalata is endemic to Washington and adjacent British Columbia. The taxonomy of the varieties is confused and controversial, and has led to reports [KZ] of Abronia umbellata var. breviflora (as subsp. breviflora) from WA, but FNA treats that plant as endemic to southwestern Oregon and the adjacent CA coast. The illustrated BC flora (Douglas et al. 1999) gives var. acutalata (as subsp. acutalata) a mere footnote, assuming it is extirpated from the province, and considers it an "excluded species."	
Abutilon	False		0.0	2901	2018-05-02 22:04:00		Vascular Plants: Dicots	Malvaceae	92592	Abutilon		genus		N	N	N	N	N	N	I	Introduced				
Acorus americanus	False		0.0	4577	2012-08-21 11:44:00	Peter F. Zika	Vascular Plants: Monocots	Acoraceae	121852	Acorus americanus		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WS"}	Known only from Spokane Co. Taxonomy follows FNA, distinguishing North American and Eurasian taxa at the species level. They differ in their chromosome level, fertility, and leaf venation.	
Acorus calamus	False		0.0	4578	2008-09-15 08:37:00	Peter F. Zika	Vascular Plants: Monocots	Acoraceae	121854	Acorus calamus		species		Y	N	N	N	N	N	I	Introduced from Eurasia		{"Herbarium":"WTU"}	Recently collected in Clark Co.	
Achnatherum	True	DerbyCanyonNatives, LandHSeeds, PlantsoftheWild, RainierSeeds, 	16.67	5255	2018-05-02 22:04:00		Vascular Plants: Monocots	Poaceae	132656	Achnatherum		genus		N	N	N	N	N	N	N	Native				
Acer campestre	False		0.0	4298	2018-08-15 09:36:00		Vascular Plants: Dicots	Sapindaceae	116725	Acer campestre		species		Y	N	N	Y	N	N	I	Introduced				
Achlys californica	False		0.0	1294	2009-09-03 08:50:00	Thayne Tuason	Vascular Plants: Dicots	Berberidaceae	55130	Achlys californica		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	Not included in H&C.<br><br>FNA3: "Triploid plants have been reported from one locality in central Washington and from a site in northwestern California."	
Acer circinatum	True	BurntRidgeNursery, DerbyCanyonNatives, FourthCornerNursery, FriendlyNativesNursery, HimaNursery, InsidePassageSeeds, OxbowFarmandConservationCenter, PlantasNativaLLC, PlantsoftheWild, SoundNativePlants, WabashFarms, WatershedGardenWorks, WildlandsNursery, WoodbrookNativePlantNursery, 	58.33	4299	2009-12-15 13:21:00	Sharon Rodman	Vascular Plants: Dicots	Sapindaceae	116726	Acer circinatum		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Aconitum columbianum	False		0.0	3750	2018-05-02 22:04:00	Fred Weinmann	Vascular Plants: Dicots	Ranunculaceae	107311	Aconitum columbianum		species		N	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Aconitum columbianum ssp. columbianum	False		0.0	3751	2009-02-27 08:31:00	Fred Weinmann	Vascular Plants: Dicots	Ranunculaceae	107312	Aconitum columbianum ssp. columbianum		infraspecies		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA3: "Disjunct, outlying populations of Aconitum columbianum subsp. columbianum in Iowa, Wisconsin, Ohio, and New York occur at relatively low elevations (as low as 300 m), sometimes in frigid air drainages from caves, or in other microhabitats that simulate conditions of higher elevations. They are probably relict populations that have persisted locally since the last glacial period. These northern wild monkshoods have been treated as a species ( Aconitum noveboracense , which has had U.S. federal conservation status), or as a subspecies of A . uncinatum . We find, however, that they are part of the A . columbianum complex. They have a single daughter tuber that is separated from the parent tuber by a connecting rhizome no more than 5mm long. This is like Acolumbianum , and unlike A . uncinatum , which has several daughter tubers separated from the parent by elongate connectives. Leaf morphology is also typical of A . columbianum , and unlike A . uncinatum . Floral morphology is similar to that found in diminutive races of A . columbianum in California, Wyoming, and South Dakota. Several populations in Iowa and Wisconsin are at the diminutive extreme of the range of variation in A . columbianum floral characters such as nectary depth and hood height. Data for Iowa and Wisconsin populations can be found in D. E. Brink (1982, also 1980). Plants in an Ohio population were too stressed and depauperate for data collection. Data collected in New York populations by Brink in 1982 are not published.<br><br>Aconitum columbianum subsp. columbianum is exceedingly variable. Plants often occur in dense, highly localized populations; they are very similar morphologically within populations and within regional groups of populations. Extreme differences occur between the geographic races. Specimens of the most diminutive races rarely exceed 1 m in height, whereas plants of the largest races may exceed 3m, with correlated differences in size and number of plant parts. A complete range of variation exists between the extremes if many regional groups of populations are considered. Geographic patterns of morphologic variation have been considered too complex to accord formal taxonomic rank to the variants, so the group has been treated as one large, intergrading species complex, with bulbil-bearing and nonbulbil-bearing subspecies. White-flowered variants occur within populations, but white-flowered populations and groups of populations also occur. In each case, these seem to be sporadic variants within larger, regional patterns of morphologic variation. Consequently, white-flowered morphs are not accorded formal taxonomic rank."	
Actaea elata	False		0.0	3753	2017-03-20 13:19:00	David Giblin	Vascular Plants: Dicots	Ranunculaceae	107364	Actaea elata		species		N	N	N	N	N	N	N	Native				
Acer	True	BurntRidgeNursery, DerbyCanyonNatives, FourthCornerNursery, FriendlyNativesNursery, HimaNursery, InsidePassageSeeds, OxbowFarmandConservationCenter, PlantasNativaLLC, PlantsoftheWild, RainierSeeds, SoundNativePlants, StormLakeGrowers, WabashFarms, WatershedGardenWorks, WildlandsNursery, WoodbrookNativePlantNursery, 	66.67	4297	2018-05-02 22:04:00		Vascular Plants: Dicots	Sapindaceae	116718	Acer		genus		N	N	N	N	N	N	N	Native				
