ID	ModifiedOn	Contributors	InformalClassification	Family	TaxonID	TaxonName	SeeAlso	NameRank	Hybrid	TerminalTaxon	Excluded	Peripheral	Waif	Endemic	Extirpated	OriginCode	Origin	Distribution	Voucher	Comments
1	2003-10-21 00:00:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Isoetaceae	32237	Isoetaceae		family		N	N	N	N	N	N	N	Native			
2	2018-05-02 22:04:00		Vascular Plants: Ferns and Lycophytes	Isoetaceae	32239	Isoetes		genus		N	N	N	N	N	N	N	Native			
3	2008-12-28 07:24:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Isoetaceae	32243	Isoetes bolanderi		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA2: "Small plants with leaves less than 2.5 cm have been called Isoetes bolanderi var. pygmaea (Engelmann) Clute.<br><br>Isoetes bolanderi hybridizes with I. echinospora and I. occidentalis."
4	2008-12-28 07:52:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Isoetaceae	32282	Isoetes howellii		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA2: "In many respects, Isoetes howellii appears similar to I. melanopoda. Small plants with leaves less than 10 cm and megaspores less than 420 &#956;m diam. have been called I. howellii var. minima (A. A. Eaton) N. E. Pfeiffer."
5	2008-12-28 07:39:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Isoetaceae	32299	Isoetes maritima		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA2: "Isoetes maritima hybridizes with I. echinospora and I. occidentalis [ = I. truncata (A. A. Eaton) Clute]."
6	2013-02-12 08:58:00	David Giblin	Vascular Plants: Ferns and Lycophytes	Isoetaceae	32308	Isoetes minima		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	BEN 304: "Several field characters distinguish plants of I. minima from plant of I. nuttallii. First, I. minima has an incomplete velum covering up to 75% of the sporangium whereas, I. nuttallii has a complete velum covering 100% of the sporangium. Second, I. minima has spinulose textured megaspores ranging 290-350 mm in diameter. In contrast, I. nuttallii has smooth to tuberculate textured megaspores ranging 360-600 mm in diameter. Third, I. minima is generally a smaller plant with leaves up to only 4 cm long whereas, I. nuttallii is usually larger plant with leaves up to 20 cm long."
7	2008-12-28 07:45:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Isoetaceae	32310	Isoetes nuttallii		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	
8	2008-12-28 07:48:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Isoetaceae	32317	Isoetes occidentalis		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA2: "Megaspores of Isoetes occidentalis are variable in wall pattern. Populations exist with rugulate or tuberculate megaspores and other population with cristate to echinate megaspores. Plants with thin-walled megaspores that crack easily have been called I. paupercula. Populations in which megaspores have short ridges and tubercles in a band along the equator have been called I. flettii. Populations with broad-based tubercles on the megaspores have been called I. piperi. The variation in megaspore pattern may indicate multiple allopolyploid origins for I. occidentalis.<br><br>The general aspect of Isoetes occidentalis and its tough, dark green leaves suggested to early workers an affinity with I. lacustris.<br><br>Isoetes occidentalis hybridizes with I. bolanderi, I. echinospora, and I. maritima [ = I. x truncata (A. A. Eaton) Clute]."
9	2016-03-25 11:36:00	Peter F. Zika	Vascular Plants: Ferns and Lycophytes	Isoetaceae	32355	Isoetes tenella		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA2: "North American plants of Isoetes echinospora, which bear stomata, have been called I. muricata or I. echinospora var. braunii to distinguish them from European plants of I. echinospora, which do not have stomata.<br><br>Isoetes echinospora is a distinct species but has considerable variation, especially in size, color, and form of leaves. It is the most commonly encountered quillwort in oligotrophic, noncalcareous lakes and ponds of northeastern North America.<br><br>Isoetes echinospora hybridizes with I. bolanderi; I. engelmannii [ = I. x eatonii Dodge (later synonym = I. x gravesii A. A. Eaton)]; I. lacustris [ = I. x hickeyi Taylor & Luebke]; I. maritima; I. riparia [ = I. x dodgei A. A. Eaton]; and I. tuckermanii."
10	2018-08-15 09:36:00		Vascular Plants: Ferns and Lycophytes	Isoetaceae	32357	Isoetes truncata		species	Named	Y	N	N	N	N	N	N	Native			
